,gene_id,AE0,AE1,PCA0,PCA1,UMAP0,UMAP1,tSNE0,tSNE1
67,ABCC8,0.6228408217430115,8.662035942077637,-4.254114828,-0.270329526,-1.176231,3.2312803,66.53202,19.63529
68,ABCC9,-3.85246253,-3.450817585,1.1093641316305818,-1.112943016,6.665011,8.525578,-18.734398,3.83491
69,ABCD1,-1.783621788,-4.900797844,0.672759086,-0.065320956,6.985316,10.091392,-49.10296,9.719866
70,ABCD2,0.35719168186187744,0.4245494604110718,-2.511119321,-0.439658579,2.2738726,7.212795,9.187261,14.546143
71,ABCD3,-3.467729568,-7.557600975,3.5311601207925145,-0.233712507,11.622231,5.218815,-4.634069,-57.81005
72,ABCD4,-2.57901597,-5.474059105,1.5320950415470407,-0.288264847,8.563406,9.32789,-49.54207,-9.4757395
73,ABCE1,-2.60594964,-9.337434769,4.030574446261767,0.5041141015176239,12.439928,4.4643207,12.181344,-63.80769
74,ABCF1,-3.762642145,-7.903728485,4.024471674862864,0.22783002043459738,11.91049,4.5462327,6.7924056,-51.273937
75,ABCF2,-1.70156312,-7.538844585,2.2233656165073046,0.501188415,10.553371,8.407046,-57.39414,-38.983162
76,ABCF3,-2.380110979,-8.112325668,3.043240509735307,0.6802014311450838,11.798088,7.0767646,-31.964167,-64.15179
77,ABCG1,-3.883507729,-6.034814835,2.837816286929881,-0.190387237,10.783667,6.8833985,-20.55563,-37.310753
78,ABCG2,-1.067457676,-1.143334985,-1.503428041,-0.474875444,3.0901651,8.281512,-4.0177026,23.779182
79,ABCG4,2.2293622493743896,15.564767837524414,-4.848794761,0.2650872330407455,-0.40325046,1.4771944,50.091415,-11.48279
